customer_id,customer_fname,customer_lname,username,password,address,state,city ,pincode
1,C24,1288,C241288,,Central,Illinois,Addison,60101
2,C11,1565,C111565,,West,Washington,Anacortes,98221
3,C26,6599,C266599,,West,Washington,Anacortes,98221
4,C98,8172,C988172,,West,Washington,Anacortes,98221
5,C18,9076,C189076,,West,Washington,Anacortes,98221
6,C65,7758,C657758,,West,Washington,Anacortes,98221
7,C15,1197,C151197,,West,Washington,Anacortes,98221
8,C17,6086,C176086,,West,California,San Gabriel,91776
9,C15,9642,C159642,,West,California,San Gabriel,91776
10,C28,3361,C283361,,West,California,San Jose,95123
11,C24,286,C24286,,West,California,San Jose,95123
12,C19,1708,C191708,,West,California,San Jose,95123
13,C22,5330,C225330,,West,California,San Jose,95123
14,C31,2861,C312861,,East,Massachusetts,Fall River,2724
15,C55,5402,C555402,,East,New Hampshire,Bedford,3110
16,C36,2288,C362288,,East,New Jersey,Camden,8101
17,C30,786,C30786,,East,New Jersey,Pennsauken,8109
18,C33,667,C33667,,East,New Jersey,Roselle,7203
19,C21,8149,C218149,,East,Rhode Island,Cranston,2907
20,C19,6845,C196845,,Central,Minnesota,Prior Lake,55372
21,C22,180,C22180,,Central,Minnesota,Prior Lake,55372
22,C12,5696,C125696,,Central,Minnesota,Prior Lake,55372
23,C32,2947,C322947,,Central,Minnesota,Prior Lake,55372
24,C31,3348,C313348,,Central,Minnesota,Prior Lake,55372
25,C20,4553,C204553,,East,New York,Smithtown,11787
26,C28,5161,C285161,,East,New York,Smithtown,11787
27,C28,9625,C289625,,East,New York,Smithtown,11787
28,C19,2344,C192344,,East,New York,Smithtown,11787
29,C44,7138,C447138,,East,New York,Smithtown,11787
30,C25,1229,C251229,,East,New York,Smithtown,11787
31,C15,9164,C159164,,East,New York,Syracuse,13210
32,C50,1658,C501658,,East,New York,Syracuse,13210
33,C17,6727,C176727,,East,New York,Syracuse,13210
34,C23,2624,C232624,,West,Montana,Great Falls,59405
35,C16,4092,C164092,,West,Montana,Great Falls,59405
36,C27,6887,C276887,,West,Montana,Helena,59601
37,C24,5456,C245456,,West,Montana,Helena,59601
38,C45,287,C45287,,West,Montana,Helena,59601
39,C20,4279,C204279,,West,Montana,Helena,59601
40,C45,2806,C452806,,West,Montana,Helena,59601
41,C71,6788,C716788,,West,Montana,Helena,59601
42,C15,5059,C155059,,West,Montana,Missoula,59801
43,C30,6662,C306662,,Central,Nebraska,Bellevue,68005
44,C60,7615,C607615,,Central,Nebraska,Bellevue,68005
45,C12,164,C12164,,Central,Nebraska,Bellevue,68005
46,C13,4449,C134449,,East,New York,New York City,10012
47,C31,7818,C317818,,East,New York,New York City,10012
48,C24,1642,C241642,,East,New York,New York City,10012
49,C12,6436,C126436,,East,New York,New York City,10012
50,C65,3385,C653385,,East,New York,New York City,10012
51,C22,7070,C227070,,East,New York,New York City,10012
52,C31,7478,C317478,,East,New York,New York City,10012
53,C23,7330,C237330,,East,New York,New York City,10012
54,C62,6042,C626042,,East,New York,New York City,10012
55,C13,3687,C133687,,East,New York,New York City,10012
